District name,Primary role,Name,First name,Last name,Address,,formatted_address,,latitude,longitude,coordinates,,accuracy,google_place_id,,type,postcode,input_string,number_of_results,status,distance to NB Parli.
Oromocto-Lincoln,MLA,Mary E. Wilson,Mary E.,Wilson,"Oromocto-Lincoln 261 Restigouche Road Oromocto, New Brunswick E2V 2H1 Canada",31,"261 Restigouche Rd, Oromocto, NB E2V 2H1, Canada",,45.8403882,-66.4981817,"45.8403882,-66.4981817",,GEOMETRIC_CENTER,ChIJSWoXLBmcpkwRrYxmp1U8ZUc,,premise,E2V 2H1,"Oromocto-Lincoln 261 Restigouche Road Oromocto, New Brunswick E2V 2H1 Canada",1,OK,2037.042
Portland-Simonds,MLA,Trevor A. Holder,Trevor A.,Holder,"Portland-Simonds 229 Churchill Boulevard Saint John, New Brunswick E2K 3E2 Canada",32,"229 Churchill Blvd, Saint John, NB E2K 3E2, Canada",,45.286821,-66.0792316,"45.286821,-66.0792316",,ROOFTOP,ChIJVX5X-kSzp0wRM_hUht-NQy8,,premise,E2K 3E2,"Portland-Simonds 229 Churchill Boulevard Saint John, New Brunswick E2K 3E2 Canada",1,OK,1986.664
Quispamsis,MLA,Blaine Higgs,Blaine,Higgs,"Quispamsis 25 William Court Quispamsis, New Brunswick E2E 4B1 Canada",33,"25 William Ct, Quispamsis, NB E2E 4B1, Canada",,45.4139737,-65.9485523,"45.4139737,-65.9485523",,ROOFTOP,ChIJ08F2EGarp0wRiiz1qjCf3YQ,,street_address,E2E 4B1,"Quispamsis 25 William Court Quispamsis, New Brunswick E2E 4B1 Canada",1,OK,2005.222
Restigouche West,MLA,Gilles LePage,Gilles,LePage,"Restigouche West 647 avenue des Pionniers Balmoral, New Brunswick E8E 1B3 Canada",34,"647 Des Pionniers Ave, Balmoral, NB E8E 1B3, Canada",,47.9812057,-66.4139737,"47.9812057,-66.4139737",,ROOFTOP,ChIJGXvKC747mEwRlaOqk5gOHkk,,premise,E8E 1B3,"Restigouche West 647 avenue des Pionniers Balmoral, New Brunswick E8E 1B3 Canada",1,OK,2230.968
Restigouche-Chaleur,MLA,Daniel Guitard,Daniel,Guitard,"691 Principale Street Petit-Rocher, New Brunswick E8J 1G1 Canada",35,"691 Rue Principale, Petit-Rocher, NB E8J 1G1, Canada",,47.7750776,-65.7154775,"47.7750776,-65.71547749999999",,ROOFTOP,ChIJsSeji7HzmEwRIEvx80N681Q,,street_address,E8J 1G1,"691 Principale Street Petit-Rocher, New Brunswick E8J 1G1 Canada",1,OK,2269.502
Riverview,MLA,R. Bruce Fitch,R. Bruce,Fitch,"Riverview 567 Coverdale Road Riverview, New Brunswick E1B 3K7 Canada",36,"567 Coverdale Rd, Riverview, NB E1B 3K7, Canada",,46.0632826,-64.809984,"46.0632826,-64.809984",,ROOFTOP,ChIJibZE7aW5oEwRtnt3ft-KaWA,,premise,E1B 3K7,"Riverview 567 Coverdale Road Riverview, New Brunswick E1B 3K7 Canada",1,OK,2136.726
Rothesay,MLA,Hugh J. A. (Ted) Flemming,Hugh J. A. (Ted),Flemming,"Rothesay 70 Hampton Road Rothesay, New Brunswick E2E 5L5 Canada",37,"70 Hampton Rd, Rothesay, NB E2E 5Y2, Canada",,45.3938719,-65.9860498,"45.3938719,-65.9860498",,ROOFTOP,ChIJI2YrbLisp0wRwQJ4Ij8ySlI,,street_address,E2E 5Y2,"Rothesay 70 Hampton Road Rothesay, New Brunswick E2E 5L5 Canada",1,OK,2001.338
Saint John East,MLA,Glen Savoie,Glen,Savoie,"Saint John East 1210 Loch Lomond Road Saint John, New Brunswick E2J 1Z6 Canada",38,"1210 Loch Lomond Rd, Saint John, NB E2J 1Z6, Canada",,45.3032109,-65.9923044,"45.3032109,-65.9923044",,ROOFTOP,ChIJMdyJ2Deyp0wRAgpEeB_gWws,,premise,E2J 1Z6,"Saint John East 1210 Loch Lomond Road Saint John, New Brunswick E2J 1Z6 Canada",1,OK,1993.241
Saint John Harbour,MLA,Gerry Lowe,Gerry,Lowe,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",39,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Saint John Lancaster,MLA,Dorothy Shephard,Dorothy,Shephard,"Saint John Lancaster 640 Manawagonish Road Saint John, New Brunswick E2M 3W5 Canada",40,"640 Manawagonish Rd, Saint John, NB E2M 4P5, Canada",,45.256789,-66.100452,"45.256789,-66.10045199999999",,ROOFTOP,ChIJy24DH8G0p0wR7qTzjLek00c,,"establishment,premise",E2M 4P5,"Saint John Lancaster 640 Manawagonish Road Saint John, New Brunswick E2M 3W5 Canada",1,OK,1982.548
Shediac-Beaubassin-Cap-Pelé,MLA,Jacques LeBlanc,Jacques,LeBlanc,"Shediac-Beaubassin-Cap-Pelé 328 Main Street Shediac, New Brunswick E4P 2E3 Canada",41,"290 Main St, Shediac, NB E4P 2A7, Canada",,46.2194026,-64.5492444,"46.2194026,-64.54924439999999",,ROOFTOP,ChIJ49ScyteQoEwR2on53NFN4hQ,,"city_hall,establishment,local_government_office,point_of_interest",E4P 2A7,"Shediac-Beaubassin-Cap-Pelé 328 Main Street Shediac, New Brunswick E4P 2E3 Canada",1,OK,2162.848
Shippagan-Lamèque-Miscou,MLA,Robert Gauvin,Robert,Gauvin,"East Block 710 Queen Street Fredericton, New Brunswick E3B 1C5 Canada",42,"710 Queen St, Fredericton, NB E3B 1C5, Canada",,45.9591756,-66.6358567,"45.9591756,-66.63585669999999",,ROOFTOP,ChIJ04jT7KYYpEwRQCUboZr0FmU,,street_address,E3B 1C5,"East Block 710 Queen Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.239
Southwest Miramichi-Bay du Vin,MLA,Jake Stewart,Jake,Stewart,"Southwest Miramichi-Bay du Vin 137 Main Street Blackville, New Brunswick E9B 1N9 Canada",43,"401 Main St, Blackville, NB E9B 1T3, Canada",,46.7577456,-65.8144192,"46.7577456,-65.8144192",,ROOFTOP,ChIJ31SBsLcqokwROtObGonMO48,,"establishment,point_of_interest",E9B 1T3,"Southwest Miramichi-Bay du Vin 137 Main Street Blackville, New Brunswick E9B 1N9 Canada",1,OK,2154.402
Sussex-Fundy-St. Martins,MLA,Bruce Northrup,Bruce,Northrup,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",44,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Tracadie-Sheila,MLA,Keith Chiasson,Keith,Chiasson,"Tracadie-Sheila 4104 rue Principale Tracadie, New Brunswick E1X 1B8 Canada",45,"4104 Rue Principale, Tracadie-Sheila, NB E1X 1B8, Canada",,47.4878469,-64.9184566,"47.4878469,-64.9184566",,ROOFTOP,ChIJUQOomAJJn0wReUkGZeSpOAk,,premise,E1X 1B8,"Tracadie-Sheila 4104 rue Principale Tracadie, New Brunswick E1X 1B8 Canada",1,OK,2271.616
Victoria-La Vallée,MLA,Chuck Chiasson,Chuck,Chiasson,"Victoria-La Vallée 385 Broadway Blvd. Grand Falls, New Brunswick E3Z 2K5 Canada",46,"385 Boulevard Broadway, Grand-Sault, NB E3Z 2K5, Canada",,47.0459073,-67.7432521,"47.0459073,-67.74325209999999",,ROOFTOP,ChIJ05pov_3QvEwRw5DvFV6qAgw,,premise,E3Z 2K5,"Victoria-La Vallée 385 Broadway Blvd. Grand Falls, New Brunswick E3Z 2K5 Canada",1,OK,2032.395
"Saint Croix, electoral district 36",,,,,"Saint Croix 78 Milltown Boulevard St Stephen, New Brunswick E3L 1G6 Canada",47,"78 Milltown Blvd, Saint Stephen, NB E3L 1G6, Canada",,45.1920831,-67.2791663,"45.1920831,-67.2791663",,ROOFTOP,ChIJn8ZSKzH5pUwRv0fimj0ton8,,premise,E3L 1G6,"Saint Croix 78 Milltown Boulevard St Stephen, New Brunswick E3L 1G6 Canada",2,OK,1870.297
