District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1230.828 is NULL**)
Regina University,,,,constituency,"4617 Albert Street Regina, SK",36,"4617 Albert St, Regina, SK S4S 6B6, Canada",50.4063616,-104.6170453,"50.4063616,-104.6170453",ROOFTOP,ChIJeQ35_LagHlMRS6VpluJOcEI,S4S 6B6,"4617 Albert Street Regina, SK",1,OK,1978.905
Regina Walsh Acres,,,,constituency,"145 Dorothy Street Regina, SK",37,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,1992.841
Regina Wascana Plains,,,,constituency,"5M South Plains Road Emerald Park, SK",38,"5P S Plains Rd, Pilot Butte, SK S0G 3Z0, Canada",50.4465247,-104.4182199,"50.4465247,-104.4182199",ROOFTOP,ChIJYfNwegGeHlMR6vBGPxcvUrg,S0G 3Z0,"5M South Plains Road Emerald Park, SK",1,OK,1993.155
Rosetown-Elrose,,,,constituency,"117 First Avenue East Rosetown, SK",39,"117 1st Ave E, Rosetown, SK S0L 2V0, Canada",51.5506972,-107.9894738,"51.55069719999999,-107.9894738",ROOFTOP,ChIJo9Cc_YruD1MR_s6Ua9BIz18,S0L 2V0,"117 First Avenue East Rosetown, SK",1,OK,2240.057
Rosthern-Shellbrook,,,,constituency,"319 Railway Avenue Rosthern, SK",40,"319 Railway Ave, Rosthern, SK S0K 3R0, Canada",52.6646958,-106.3299554,"52.6646958,-106.3299554",RANGE_INTERPOLATED,Ei0zMTkgUmFpbHdheSBBdmUsIFJvc3RoZXJuLCBTSyBTMEsgM1IwLCBDYW5hZGEiGxIZChQKEgnXoAHsRQoEUxGNU4BT7VWn_BC_Ag,S0K 3R0,"319 Railway Avenue Rosthern, SK",1,OK,2264.138
Saskatchewan Rivers,,,,constituency,"6 – 3041 Sherman Drive Prince Albert, SK",41,"3041 Sherman Dr, Prince Albert, SK S6V 7B7, Canada",53.1832636,-105.717454,"53.1832636,-105.717454",ROOFTOP,ChIJz2I3N096AVMR5weN31BGBJU,S6V 7B7,"6 – 3041 Sherman Drive Prince Albert, SK",1,OK,2314.085
Saskatoon Centre,,,,constituency,"5 – 511 1st Avenue N. Saskatoon, SK",42,"5-1925 1st Ave N, Saskatoon, SK S7K 6W1, Canada",52.1559116,-106.6610878,"52.1559116,-106.6610878",ROOFTOP,ChIJD7HizvP2BFMRsFnIlB7PN1M,S7K 6W1,"5 – 511 1st Avenue N. Saskatoon, SK",1,OK,2199.225
Saskatoon Churchill-Wildwood,,,,constituency,"129 – 2325 Preston Avenue
Saskatoon SK",43,"2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada",52.101643,-106.6203576,"52.101643,-106.6203576",ROOFTOP,ChIJtZlj2GrxBFMR_7Zhl3aK_LQ,S7J 2G2,"129 – 2325 Preston Avenue
Saskatoon SK",1,OK,2191.735
Saskatoon Eastview,,,,constituency,"88 – 2325 Preston Ave. Saskatoon, SK",44,"2325 Preston Ave S, Saskatoon, SK S7J 2G1, Canada",52.1014474,-106.6203921,"52.1014474,-106.6203921",ROOFTOP,ChIJWalLBgbxBFMR_pZnuvAXmUs,S7J 2G1,"88 – 2325 Preston Ave. Saskatoon, SK",1,OK,2191.73
Saskatoon Fairview,,,,constituency,"61 – 300 Confederation Drive Saskatoon, SK",45,"300 Confederation Dr, Saskatoon, SK S7L 4R6, Canada",52.1324092,-106.7211051,"52.1324092,-106.7211051",ROOFTOP,ChIJoxdCUl33BFMRVVy-Uk5WRPc,S7L 4R6,"61 – 300 Confederation Drive Saskatoon, SK",2,OK,2200.477
